a	aː
útivist	uː t ɪ v ɪ s t
útivistar	uː t ɪ v ɪ s t a r
útivistarsvæði	uː t ɪ v ɪ s t a r s v aiː ð ɪ
útjaðar	uː t j a ð a r
útjaðri	uː t j a ð r ɪ
útjaskaða	uː t j a s k a ð a
útkall	uː t k a t l̥
útkeyrð	uː t c ei r ð
útkljá	uː t kʰ l j au
útkljáð	uː t k l j au ð
útkoma	uː t k ɔ m a
útkoman	uː t k ɔ m a n
útkomu	uː t k ɔ m ʏ
útkomuna	uː t k ɔ m ʏ n a
útkrotuð	uː t kʰ r ɔ t ʏ ð
útlaga	uː t l a ɣ a
útlaganum	uː t l a ɣ a n ʏ m
útlagar	uː t l a ɣ a r
útlagðs	uː t l a ɣ ð s
útlagi	uː t l ai j ɪ
útlanda	uː t l a n t a
útlandinu	uː t l a n t ɪ n ʏ
útlán	uː t l au n
útlána	uː t l au n a
útláns	uː t l au n s
útlánum	uː t l au n ʏ m
útlegð	uː t l ɛ ɣ ð
útleggja	uː t l ɛ c a
útleggst	uː t l ɛ k s t
útleið	uː t l ei ð
útleigu	uː t l ei ɣ ʏ
útlend	uː t l ɛ n t
útlenda	uː t l ɛ n t a
útlending	uː t l ɛ n t i ŋ k
útlendinga	uː t l ɛ n t i ŋ k a
útlendingana	uː t l ɛ n t i ŋ k a n a
útlendinganna	uː t l ɛ n t i ŋ k a n a
útlendingar	uː t l ɛ n t i ŋ k a r
útlendingarnir	uː t l ɛ n t i ŋ k a t n ɪ r
útlendingi	uː t l ɛ n t i ɲ c ɪ
útlendingum	uː t l ɛ n t i ŋ k ʏ m
útlendingunum	uː t l ɛ n t i ŋ k ɔ n ʏ m
útlendingur	uː t l ɛ n t i ŋ k ʏ r
útlendingurinn	uː t l ɛ n t i ŋ k ʏ r ɪ n
útlendu	uː t l ɛ n t ʏ
útlendum	uː t l ɛ n t ʏ m
útlenska	uː t l ɛ n s k a
útlensku	uː t l ɛ n s k ʏ
útlima	uː t l ɪ m a
útlista	uː t l ɪ s t a
útlistaði	uː t l ɪ s t a ð ɪ
útlistanir	uː t l ɪ s t a n ɪ r
útlistun	uː t l ɪ s t ʏ n
útlistunum	uː t l ɪ s t ʏ n ʏ m
útlit	uː t l ɪ t
útliti	uː t l ɪ t ɪ
útlitið	uː t l ɪ t ɪ ð
útlitinu	uː t l ɪ t ɪ n ʏ
útlits	uː t l ɪ t s
útlitstillögur	uː t l ɪ t s t ɪ l œ ɣ ʏ r
útlitum	uː t l ɪ t ʏ m
útlínum	uː t l i n ʏ m
útlínumynd	uː t l i n ʏ m ɪ n t
útlöndum	uː t l œ n t ʏ m
útnára	uː t n au r a
útnefnd	uː t n ɛ m t
útnefndur	uː t n ɛ m t ʏ r
útnefningu	uː t n ɛ p n i ŋ k ʏ
útprentuðum	u t p r ɛ n̥ t ʏ ð ʏ m
útprentuninni	uː t p r ɛ n̥ t ʏ n ɪ n ɪ
útreið	uː t r ei ð
útreikning	uː t r ei h k n i ŋ k
útreikninga	uː t r ei h k n i ŋ k a
útreikningar	uː t r ei h k n i ŋ k a r
útreikningi	uː t r ei h k n i ɲ c ɪ
útreikningum	uː t r ei h k n i ŋ k ʏ m
útreikningur	uː t r ei h k n i ŋ k ʏ r
útrétta	uː t r j ɛ h t a
útréttinga	uː t r j ɛ h t i ŋ k a
útréttri	uː t r j ɛ h t r ɪ
útrunninn	uː t r ʏ n ɪ n
útrýma	uː t r i m a
útrýmingarhættu	uː t r i m i ŋ k a r h ai h t ʏ
útrýmingu	uː t r i m i ŋ k ʏ
útrýmt	uː t r i m̥ t
útsala	uː t s a l a
útsaum	uː t s œy m
útsaumuðum	uː t s œy m ʏ ð ʏ m
útselir	uː t s ɛ l ɪ r
útsendari	uː t s ɛ n t a r ɪ
útsending	uː t s ɛ n t i ŋ k
útsendingar	uː t s ɛ n t i ŋ k a r
útsendingartími	uː t s ɛ n t i ŋ k a r tʰ iː m ɪ
útsendingu	uː t s ɛ n t i ŋ k ʏ
útsendingum	uː t s ɛ n t i ŋ k ʏ m
útsetja	uː t s ɛ t j a
útsetning	uː t s ɛ h t n i ŋ k
útsetninga	uː t s ɛ h t n i ŋ k a
útsetningar	uː t s ɛ h t n i ŋ k a r
útsetningu	uː t s ɛ h t n i ŋ k ʏ
útsetningum	uː t s ɛ h t n i ŋ k ʏ m
útsett	uː t s ɛ h t
útsetti	uː t s ɛ h t ɪ
útséð	uː t s j ɛ ð
útsjónarsamur	uː t s j ou n a r s aː m ʏ r
útsjónarsemi	uː t s j ou n a r s ɛː m ɪ
Útskálakirkju	uː t s k au l a c ɪ r̥ c ʏ
útskorin	uː t s k ɔ r ɪ n
útskorinn	uː t s k ɔ r ɪ n
útskorna	uː t s k ɔ r t n a
útskornar	uː t s k ɔ r t n a r
útskornir	uː t s k ɔ r t n ɪ r
útskornu	uː t s k ɔ r t n ʏ
útskornum	uː t s k ɔ r t n ʏ m
útskots	uː t s k ɔ t s
útskrifa	uː t s k r ɪ v a
útskrifaðir	uː t s k r ɪ v a ð ɪ r
útskrifaðist	uː t s k r ɪ v a ð ɪ s t
útskrifaður	uː t s k r ɪ v a ð ʏ r
útskrifast	uː t s k r ɪ v a s t
útskrift	uː t s k r ɪ f t
útskriftarafmæli	uː t s k r ɪ f t a r a m ai l ɪ
útskrifuðust	uː t s k r ɪ v ʏ ð ʏ s t
útskurðar	uː t s k ʏ r ð a r
útskurður	uː t s k ʏ r ð ʏ r
útskúfun	uː t s k u v ʏ n
útskýra	uː t s c i r a
útskýrð	uː t s c i r ð
útskýringar	uː t s c i r i ŋ k a r
útskýringu	uː t s c i r i ŋ k ʏ
útskýringum	uː t s c i r i ŋ k ʏ m
útskýrir	uː t s c i r ɪ r
útskýrt	uː t s c i r̥ t
útslagið	uː t s t l ai j ɪ ð
útsmoginn	uː t s m ɔi j ɪ n
útsogskerfi	uː t s ɔ k s cʰ ɛ r v ɪ
útspil	uː t s p ɪ l
útstáelsi	u t s t au ɛ l s ɪ
útstillingar	uː t s t ɪ t l i ŋ k a r
útstirna	uː t s t ɪ r t n a
útstreymi	uː t s t r ei m ɪ
útstæð	uː t s t ai ð
útsvar	uː t s v a r
útsvari	uː t s v a r ɪ
útsvars	uː t s v a r̥ s
útsýn	uː t s i n
útsýnar	uː t s i n a r
útsýninu	uː t s i n ɪ n ʏ
útsýnis	uː t s i n ɪ s
útsýnisins	uː t s i n ɪ s ɪ n s
útsölu	uː t s œ l ʏ
útsölum	uː t s œ l ʏ m
úttekt	uː t ɛ x t
úttektar	uː t ɛ x t a r
úttektina	uː t ɛ x t ɪ n a
úttektinni	uː t ɛ x t ɪ n ɪ
úttektir	uː t ɛ x t ɪ r
úttroðinn	uː t r ɔ ð ɪ n
úttroðnum	uː t r ɔ ð n ʏ m
útum	uː t ʏ m
útundan	uː t ʏ n t a n
útundir	uː t ʏ n t ɪ r
útúr	uː t u r
útúrdúrum	uː t u r t u r ʏ m
útvalda	uː t v a l t a
útvaldir	uː t v a l t ɪ r
útvalin	uː t v a l ɪ n
útvarp	uː t v a r̥ p
útvarpað	uː t v a r̥ p a ð
útvarpi	uː t v a r̥ p ɪ
útvarpið	uː t v a r̥ p ɪ ð
útvarpinu	uː t v a r̥ p ɪ n ʏ
útvarps	uː t v a r̥ p s
útvarpsdagbókin	uː t v a r̥ p s t a ɣ p ou c ɪ n
útvarpsfréttir	uː t v a r̥ p s f r j ɛ h t ɪ r
útvarpsins	uː t v a r̥ p s ɪ n s
útvarpsleikhúsið	uː t v a r̥ p s t l eiː k h u s ɪ ð
útvarpslögum	uː t v a r̥ s l œ ɣ ʏ m
útvarpsmaður	uː t v a r̥ p s m aː ð ʏ r
útvarpsráðs	uː t v a r̥ p s r au ð s
útvarpssagan	uː t v a r̥ p s aː ɣ a n
útvarpssendar	uː t v a r̥ s ɛ n t a r
útvarpsstjóra	uː t v a r̥ p s t j ouː r a
útvarpsstjóri	uː t v a r̥ p s t j ouː r ɪ
útvarpsstöð	uː t v a r̥ p s t œː ð
útvarpsstöðva	uː t v a r̥ p s t œ ð v a
útvarpsstöðvar	uː t v a r̥ p s t œ ð v a r
útvarpsstöðvum	uː t v a r̥ p s t œ ð v ʏ m
útvarpstæki	uː t v a r̥ p s t aiː c ɪ
útvarpstækið	uː t v a r̥ p s t ai c ɪ ð
útvarpstækinu	uː t v a r̥ p s t aiː c ɪ n ʏ
útvarpsviðtali	uː t v a r̥ p s v ɪ ð t a l ɪ
útvarpsþætti	uː t v a r̥ p s θ ai h t ɪ
útveg	uː t v ɛ ɣ
útvega	uː t v ɛ ɣ a
útvegað	uː t v ɛ ɣ a ð
útvegaði	uː t v ɛ ɣ a ð ɪ
útvegar	uː t v ɛ ɣ a r
útvegg	uː t v ɛ k
útveggi	uː t v ɛ c ɪ
útvegsmanna	uː t v ɛ x s m a n a
útvegsmenn	uː t v ɛ x s m ɛ n
útveguð	uː t v ɛ ɣ ʏ ð
útvegun	uː t v ɛ ɣ ʏ n
útvið	uː t v ɪ ð
útvíkka	uː t v i h k a
útvíkkun	uː t v i h k ʏ n
útvortis	uː t v ɔ r̥ t ɪ s
útvöldu	uː t v œ l t ʏ
útvöldum	uː t v œ l t ʏ m
útvörp	uː t v œ r̥ p
útþenslu	uː t θ ɛ n s t l ʏ
útötuð	uː t œ t ʏ ð
V	v a f
vaða	v aː ð a
vaðandi	v aː ð a n t ɪ
vaði	v aː ð ɪ
vaðið	v aː ð ɪ ð
vafa	v aː v a
vafalaust	v aː v a l œy s t
vafalítið	v aː v a l iː t ɪ ð
vafamál	v aː v a m auː l
vafans	v aː v a n s
vafasama	v aː v a s aː m a
vafasamar	v aː v a s aː m a r
vafasams	v aː v a s a m s
vafasamt	v aː v a s a m̥ t
vafasömu	v aː v a s œː m ʏ
vafasömum	v aː v a s œː m ʏ m
vafða	v a v ð a
vafðar	v a v ð a r
vafðist	v a v ð ɪ s t
vaff	v a f
vafi	v aː v ɪ
vafið	v aː v ɪ ð
vafin	v aː v ɪ n
vafinn	v aː v ɪ n
vafist	v aː v ɪ s t
vafra	v a v r a
vafraði	v a v r a ð ɪ
vafrann	v a v r a n
vafrinn	v a v r ɪ n
vagga	v a k a
vaggaði	v a k a ð ɪ
vaggandi	v a k a n t ɪ
vaggar	v a k a r
vagn	v a k n̥
vagna	v a k n a
vagnana	v a k n a n a
vagnar	v a k n a r
vagnarnir	v a k n a t n ɪ r
vagnhjólin	v a k n̥ ç ou l ɪ n
vagni	v a k n ɪ
vagninn	v a k n ɪ n
vagninum	v a k n ɪ n ʏ m
vagnsins	v a k s ɪ n s
vagnstjórinn	v a k n̥ s t j ou r ɪ n
vaka	v aː k a
vakað	v aː k a ð
vakandi	v aː k a n t ɪ
vaki	v aː c ɪ
vakið	v aː c ɪ ð
vakin	v aː c ɪ n
vakinn	v aː c ɪ n
vakir	v aː c ɪ r
vakna	v a h k n a
vaknað	v a h k n a ð
vaknaði	v a h k n a ð ɪ
vaknar	v a h k n a r
vakni	v a h k n ɪ
vakning	v a h k n i ŋ k
vakt	v a x t
vakta	v a x t a
vaktað	v a x t a ð
vaktaskipti	v a x t a s c ɪ f t ɪ
vakthafandi	v a x t h a v a n t ɪ
vakti	v a x ð ɪ
vaktina	v a x t ɪ n a
vaktinni	v a x t ɪ n ɪ
vaktir	v a x t ɪ r
vaktþjónusta	v a x t θ j ou n ʏ s t a
val	v aː l
vala	v aː l a
valahnúks	v aː l a n̥ u k s
valaskjálf	v aː l a s c au l v
Valborg	v a l p ɔ r k
valbrá	v a l p r au
valbúnaður	v a l p u n a ð ʏ r
vald	v a l t
valda	v a l t a
valdabaráttu	v a l t a p aː r au h t ʏ
valdabrölts	v a l t a p r œ l̥ t s
valdakerfisins	v a l t a cʰ ɛ r v ɪ s ɪ n s
valdamestu	v a l t a m ɛ s t ʏ
valdandi	v a l t a n t ɪ
valdar	v a l t a r
valdarán	v a l t a r auː n
Valdason	v a l t a s ɔː n
valdatafl	v a l t a t a p l̥
valdatíð	v a l t a t iː ð
valdatíma	v a l t a t iː m a
valdatöku	v a l t a t œː k ʏ
Valdemarsson	v a l t ɛ m a r s ɔː n
valdhafa	v a l t h a v a
valdhafar	v a l t h a v a r
valdi	v a l t ɪ
valdið	v a l t ɪ ð
Valdimar	v a l t ɪ m a r
valdimari	v a l t ɪ m aː r ɪ
Valdimars	v a l t ɪ m a r̥ s
Valdimarsdóttir	v a l t ɪ m a r̥ s t ou h t ɪ r
Valdimarsson	v a l t ɪ m a r̥ s ɔː n
Valdimarssonar	v a l t ɪ m a r̥ s ɔː n a r
valdir	v a l t ɪ r
Valdís	v a l t i s
Valdísi	v a l t i s ɪ
valdníðslu	v a l t n i ð s t l ʏ
valds	v a l t s
valdshugtak	v a l t s h ʏ x t a k
valdsins	v a l t s ɪ n s
valdskiptingartorgið	v a l t s c ɪ f t i ŋ k a tʰ ɔ r c ɪ ð
valdur	v a l t ʏ r
valfrelsi	v a l f r ɛ l s ɪ
Valgarð	v a l k a r ð ɪ
Valgeir	v a l c ei r
Valgeirs	v a l c ei r̥ s
Valgeirsdóttir	v a l c ei r̥ s t ou h t ɪ r
Valgeirsson	v a l c ei r̥ s ɔː n
Valgerði	v a l c ɛ r ð ɪ
valgildi	v a l c ɪ l t ɪ
valhjálmur	v a l ç au l m ʏ r
Valhöll	v aː l h œ t l̥
vali	v aː l ɪ
valið	v aː l ɪ ð
valin	v aː l ɪ n
valinkunna	v aː l ɪ ŋ̊ k ʏ n a
valinn	v aː l ɪ n
valinu	v aː l ɪ n ʏ
valíum	v aː l i j ʏ m
valkost	v a l k ɔ s t
valkosti	v a l k ɔ s t ɪ
valkostir	v a l k ɔ s t ɪ r
valkostum	v a l k ɔ s t ʏ m
valkostur	v a l k ɔ s t ʏ r
valkyrjur	v a l cʰ ɪ r j ʏ r
valla	v a t l a
Valla	v a l a
vallamanna	v a t l a m a n a
Vallanesi	v a t l a n ɛː s ɪ
vallar	v a t l a r
vallarfoxgrass	v a t l a r f ɔ k s k r aː s
vallargötu	v a t l a r̥ k œː t ʏ
vallarhelmingi	v a t l a r h ɛ l m i ɲ c ɪ
vallarins	v a t l a r ɪ n s
vallarvini	v a t l a r v ɪː n ɪ
vallarvinir	v a t l a r v ɪː n ɪ r
Vallá	v a t l au
Vallholti	v a t l̥ h ɔ l̥ t ɪ
Valli	v a l ɪ
valnefnd	v a l n ɛ m t
valnefndar	v a l n ɛ m t a r
valnum	v a l n ʏ m
valrétt	v a l r j ɛ h t
vals	v a l s
Valsdóttir	v a l s t ou h t ɪ r
Valsmanna	v a l s m a n a
Valsmenn	v a l s m ɛ n
Valsmönnum	v a l s m œ n ʏ m
valsstelpunum	v a l s t ɛ l̥ p ɔ n ʏ m
Valsstúlkur	v a l s t u l̥ k ʏ r
valt	v a l̥ t
valta	v a l̥ t a
valtur	v a l̥ t ʏ r
Valtýr	v a l t i r
Valtýsdóttir	v a l t i s t ou h t ɪ r
Valtýsson	v a l t i s ɔː n
Valtýssonar	v a l t i s ɔː n a r
valur	v aː l ʏ r
vampíru	v a m̥ p i r ʏ
vana	v aː n a
vanagang	v aː n a k au ŋ k
vanalega	v aː n a l ɛ ɣ a
vanans	v aː n a n s
vanar	v aː n a r
vanari	v aː n a r ɪ
vanbúnaði	v a n p u n a ð ɪ
vanda	v a n t a
vandað	v a n t a ð
vandaða	v a n t a ð a
vandaðan	v a n t a ð a n
vandaðar	v a n t a ð a r
vandaði	v a n t a ð ɪ
vandaðist	v a n t a ð ɪ s t
vandaðra	v a n t a ð r a
vandaðri	v a n t a ð r ɪ
vandaður	v a n t a ð ʏ r
vandalaust	v a n t a l œy s t
vandamanna	v a n t a m a n a
vandamál	v a n t a m auː l
vandamála	v a n t a m auː l a
vandamáli	v a n t a m auː l ɪ
vandamálið	v a n t a m auː l ɪ ð
vandamálin	v a n t a m auː l ɪ n
vandamálinu	v a n t a m auː l ɪ n ʏ
vandamálum	v a n t a m auː l ʏ m
vandamenn	v a n t a m ɛ n
vandamönnum	v a n t a m œ n ʏ m
vandann	v a n t a n
vandans	v a n t a n s
vandanum	v a n t a n ʏ m
vandar	v a n t a r
vandasama	v a n t a s aː m a
vandasamt	v a n t a s a m̥ t
vandasöm	v a n t a s œː m
vandfundinn	v a n t f ʏ n t ɪ n
vandfyllt	v a n t f ʏ l̥ t
vandi	v a n t ɪ
vandinn	v a n t ɪ n
vandist	v a n t ɪ s t
vandkvæði	v a n t k v ai ð ɪ
vandkvæðum	v a n t k v ai ð ʏ m
vandlega	v a n t l ɛ ɣ a
vandlætingar	v a n t l ai t i ŋ k a r
vandlætingu	v a n t l ai t i ŋ k ʏ
vandmeðfarið	v a n t m ɛ ð f aː r ɪ ð
vandræða	v a n t r ai ð a
vandræðagangi	v a n t r ai ð a k au ɲ c ɪ
vandræðalaust	v a n t r ai ð a l œy s t
vandræðaleg	v a n t r ai ð a l ɛ ɣ
vandræðalega	v a n t r ai ð a l ɛ ɣ a
vandræðalegir	v a n t r ai ð a l ei j ɪ r
vandræðalegri	v a n t r ai ð a l ɛ ɣ r ɪ
vandræðalegt	v a n t r ai ð a l ɛ x t
vandræðalegur	v a n t r ai ð a l ɛ ɣ ʏ r
vandræði	v a n t r ai ð ɪ
vandræðin	v a n t r ai ð ɪ n
vandræðum	v a n t r ai ð ʏ m
vandséð	v a n t s j ɛ ð
vandunnið	v a n t ʏ n ɪ ð
vandur	v a n t ʏ r
vandvirk	v a n t v ɪ r̥ k
vandvirkni	v a n t v ɪ r̥ k n ɪ
vandvirknislega	v a n t v ɪ r̥ k n ɪ s t l ɛ ɣ a
vandvirkur	v a n t v ɪ r̥ k ʏ r
Vanessa	v a n ɛ s a
vanfær	v a n f ai r
vanga	v au ŋ k a
vangann	v au ŋ k a n
vanganum	v au ŋ k a n ʏ m
vangar	v au ŋ k a r
vangasvip	v au ŋ k a s v ɪː p
vangaveltum	v au ŋ k a v ɛ l̥ t ʏ m
vangaveltur	v au ŋ k a v ɛ l̥ t ʏ r
vangi	v au ɲ c ɪ
vanginn	v au ɲ c ɪ n
vanhagaði	v aː n h a ɣ a ð ɪ
vanheilsu	v aː n h ei l s ʏ
vanhugsað	v aː n h ʏ k s a ð
vani	v aː n ɪ
vanið	v aː n ɪ ð
vanilla	v aː n ɪ l a
vanillu	v aː n ɪ l ʏ
vanillukorn	v aː n ɪ l ʏ kʰ ɔ t n̥
vaninn	v aː n ɪ n
vanir	v aː n ɪ r
vanist	v aː n ɪ s t
vankaður	v au ŋ̊ k a ð ʏ r
vanlíðan	v a n l i ð a n
vanmat	v a n m a t
vanmátt	v a n m au h t
vanmáttug	v a n m au h t ʏ ɣ
vanmáttugri	v a n m au h t ʏ ɣ r ɪ
vanmeta	v a n m ɛ t a
vanmetakennd	v a n m ɛ t a c ɛ n t
vanmetið	v a n m ɛ t ɪ ð
vanmetin	v a n m ɛ t ɪ n
vanmætti	v a n m ai h t ɪ
vann	v a n
vannst	v a n s t
vannstu	v a n s t ʏ
vannýtt	v a n i h t
vannæringu	v a n ai r i ŋ k ʏ
vanrækslu	v a n r ai k s t l ʏ
vansa	v a n s a
vanskil	v a n s c ɪ l
vanskila	v a n s c ɪ l a
vanskilum	v a n s c ɪ l ʏ m
vanstilli	v a n s t ɪ t l ɪ
vansvefta	v a n s v ɛ f t a
vansæl	v a n s ai l
vansæll	v a n s ai t l̥
vant	v a n̥ t
vanta	v a n̥ t a
vantað	v a n̥ t a ð
vantaði	v a n̥ t a ð ɪ
vantar	v a n̥ t a r
vanti	v a n̥ t ɪ
vantrú	v a n t r u
vantrúaða	v a n tʰ r u a ð a
vantrúaðir	v a n t r u a ð ɪ r
vantrúaður	v a n t r u a ð ʏ r
vantrúar	v a n t r u a r
vantrúnni	v a n tʰ r u n ɪ
vantrúuð	v a n t r u ʏ ð
vanur	v aː n ʏ r
vanþakklæti	v a n θ a h k l ai t ɪ
vanþekkingu	v a n θ ɛ h c i ŋ k ʏ
vanþóknun	v a n θ ou h k n ʏ n
vanþörf	v a n θ œ r v
vappa	v a h p a
vappaði	v a h p a ð ɪ
vappi	v a h p ɪ
vappið	v a h p ɪ ð
var	v aː r
vara	v aː r a
varabíllinn	v aː r a p i t l ɪ n
varadekki	v aː r a t ɛ h c ɪ
varað	v aː r a ð
varaði	v aː r a ð ɪ
varaformaður	v aː r a f ɔ r m a ð ʏ r
varaformanns	v aː r a f ɔ r m a n s
varaforseta	v aː r a f ɔ r̥ s ɛ t a
varaforsetaefni	v aː r a f ɔ r̥ s ɛ t a ɛ p n ɪ
varaforseti	v aː r a f ɔ r̥ s ɛ t ɪ
varafulltrúar	v aː r a f ʏ t l̥ t r u a r
varahluti	v aː r a l̥ ʏː t ɪ
varahlutir	v aː r a l̥ ʏː t ɪ r
varalið	v aː r a l ɪː ð
varaliði	v aː r a l ɪː ð ɪ
varalitinn	v aː r a l ɪː t ɪ n
varalitir	v aː r a l ɪː t ɪ r
varamaður	v aː r a m aː ð ʏ r
varamannabekk	v aː r a m a n a p ɛ h k
varamannabekknum	v aː r a m a n a p ɛ h k n ʏ m
varamarkvörður	v aː r a m a r̥ k v œ r ð ʏ r
varamenn	v aː r a m ɛ n
varamennirnir	v aː r a m ɛ n ɪ t n ɪ r
varan	v aː r a n
varanleg	v aː r a n l ɛ ɣ
varanlega	v aː r a n l ɛ ɣ a
varanlegan	v aː r a n l ɛ ɣ a n
varanlegar	v aː r a n l ɛ ɣ a r
varanlegri	v aː r a n l ɛ ɣ r ɪ
varanlegs	v aː r a n l ɛ k s
varanlegt	v aː r a n l ɛ x t
varanlegum	v aː r a n l ɛ ɣ ʏ m
varanlegur	v aː r a n l ɛ ɣ ʏ r
varann	v aː r a n
varaoddviti	v aː r a ɔ t v ɪ t ɪ
varar	v aː r a r
vararofar	v aː r a r ɔː v a r
varasamt	v aː r a s a m̥ t
varastjórann	v aː r a s t j ouː r a n
varastjórinn	v aː r a s t j ou r ɪ n
varastjórn	v aː r a s t j ou r t n̥
varasöm	v aː r a s œː m
varaþingmaður	v aː r a θ i ŋ k m a ð ʏ r
varð	v a r ð
varða	v a r ð a
varðað	v a r ð a ð
varðaði	v a r ð a ð ɪ
varðandi	v a r ð a n t ɪ
varðar	v a r ð a r
varðarins	v a r ð a r ɪ n s
varðbergi	v a r ð p ɛ r c ɪ
varði	v a r ð ɪ
varðist	v a r ð ɪ s t
varðmaðurinn	v a r ð m a ð ʏ r ɪ n
varðmenn	v a r ð m ɛ n
varðmönnum	v a r ð m œ n ʏ m
varðmönnunum	v a r ð m œ n ɔ n ʏ m
varðst	v a r ð s t
varðstjóra	v a r ð s t j ou r a
varðstjórann	v a r ð s t j ou r a n
varðstjórans	v a r ð s t j ou r a n s
varðstjórinn	v a r ð s t j ou r ɪ n
varðstofunni	v a r ð s t ɔ v ʏ n ɪ
varðstu	v a r ð s t ʏ
varðstöðu	v a r ð s t œ ð ʏ
varðveislu	v a r ð v ei s t l ʏ
varðveist	v a r ð v ei s t
varðveita	v a r ð v ei t a
varðveiti	v a r ð v ei t ɪ
varðveitir	v a r ð v ei t ɪ r
varðveitt	v a r ð v ei h t
varðveittar	v a r ð v ei h t a r
varðveitti	v a r ð v ei h t ɪ
varðveittur	v a r ð v ei h t ʏ r
varðveitum	v a r ð v ei t ʏ m
varfærna	v a r̥ f ai r t n a
varfærni	v a r̥ f ai r t n ɪ
varfærnislega	v a r̥ f ai r t n ɪ s t l ɛ ɣ a
vargur	v a r k ʏ r
varhluta	v a r̥ l̥ ʏ t a
varhlutir	v a r l̥ ʏ t ɪ r
varhugaverðri	v aː r̥ h ʏ ɣ a v ɛ r ð r ɪ
varhugavert	v aː r h ʏ ɣ a v ɛ r̥ t
vari	v aː r ɪ
varið	v aː r ɪ ð
varin	v aː r ɪ n
varins	v aː r ɪ n s
varir	v aː r ɪ r
varirnar	v aː r ɪ t n a r
varist	v aː r ɪ s t
varkár	v a r̥ k au r
varkárari	v a r̥ k au r a r ɪ
varkárni	v a r̥ k au r t n ɪ
Varmadal	v a r m a t a l
varmaflutningstala	v a r m a f l ʏ h t n i ŋ s tʰ aː l a
Varmahlíð	v a r m a l̥ iː ð
Varmalandi	v a r m a l a n t ɪ
Varmá	v a r m au
Varmárlaug	v a r m au r l œyː ɣ
Varmárskóla	v a r m au r s k ouː l a
varmi	v a r m ɪ
varna	v a r t n a
Varna	v a r n a
varnað	v a r t n a ð
varnaðar	v a r t n a ð a r
varnaðarorð	v a r t n a ð a r ɔ r ð
varnaði	v a r t n a ð ɪ
varnar	v a r t n a r
varnaraðili	v a r t n a r aː ð ɪ l ɪ
varnarbolta	v a r t n a r̥ p ɔ l̥ t a
varnarbyssur	v a r t n a r̥ p ɪ s ʏ r
varnarlaus	v a r t n a r l œyː s
varnarleik	v a r t n a r l eiː k
varnarleikinn	v a r t n a r l eiː c ɪ n
varnarleiknum	v a r t n a r l ei h k n ʏ m
varnarleikur	v a r t n a r l eiː k ʏ r
varnarleikurinn	v a r t n a r l eiː k ʏ r ɪ n
varnarlið	v a r t n a r l ɪː ð
varnarliðið	v a r t n a r l ɪː ð ɪ ð
varnarliðinu	v a r t n a r l ɪː ð ɪ n ʏ
varnarliðsins	v a r t n a r l ɪ ð s ɪ n s
varnarlínu	v a r t n a r l iː n ʏ
varnarmaður	v a r t n a r m aː ð ʏ r
varnarmaðurinn	v a r t n a r m aː ð ʏ r ɪ n
varnarmann	v a r t n a r m a n
varnarmanni	v a r t n a r m a n ɪ
varnarmanninn	v a r t n a r m a n ɪ n
varnarmanninum	v a r t n a r m a n ɪ n ʏ m
varnarmál	v a r t n a r m auː l
varnarmála	v a r t n a r m auː l a
varnarmálaráðherra	v a r t n a r m au l a r auː ð h ɛ r a
Varnarmálaráðuneytið	v a r t n a r m au l a r auː ð ʏ n eiː t ɪ ð
Varnarmálaráðuneytinu	v a r t n a r m au l a r auː ð ʏ n eiː t ɪ n ʏ
Varnarmálaráðuneytisins	v a r t n a r m au l a r auː ð ʏ eiː t ɪ s ɪ n s
varnarmálaskrifstofunnar	v a r t n a m au l a s k r ɪ v s t ɔ v ʏ n a r
varnarmálum	v a r t n a r m auː l ʏ m
varnarmenn	v a r t n a r m ɛ n
varnarmönnum	v a r t n a r m œ n ʏ m
varnarsamningsins	v a r t n a r s a m n i ŋ s ɪ n s
varnarsamstarfi	v a r t n a r s a m s t a r v ɪ
varnarstöðu	v a r t n a r s t œː ð ʏ
varnarveggi	v a r t n a r v ɛ c ɪ
varnarvinnunni	v a r t n a r v ɪ n ʏ n ɪ
varning	v a r t n i ŋ k
varningi	v a r t n i ɲ c ɪ
varninginn	v a r t n i ɲ c ɪ n
varningur	v a r t n i ŋ k ʏ r
varnir	v a r t n ɪ r
varp	v a r̥ p
varpa	v a r̥ p a
varpað	v a r̥ p a ð
varpaði	v a r̥ p a ð ɪ
varpar	v a r̥ p a r
varpfugl	v a r̥ p f ʏ k l̥
varpi	v a r̥ p ɪ
varppör	v a r̥ h p œ r
varpstöðva	v a r̥ p s t œ ð v a
varptíma	v a r̥ p tʰ i m a
Varsjá	v a r̥ s j au
varst	v a r̥ s t
varstu	v a r̥ s t ʏ
vart	v a r̥ t
varúð	v aː r u ð
varúðar	v aː r u ð a r
varúðarráðstafanir	v aː r u ð a r au ð s t a v a n ɪ r
varúðarráðstöfun	v aː r u ð a r au ð s t œ v ʏ n
vasa	v aː s a
vasabók	v aː s a p ouː k
vasahníf	v aː s a n̥ iː v
vasaklink	v aː s a kʰ l ɪ ŋ̊ k
vasaklút	v aː s a k l uː t
vasaklúta	v aː s a k l uː t a
vasaklútinn	v aː s a k l uː t ɪ n
vasaklútnum	v aː s a k l u h t n ʏ m
vasaljósi	v aː s a l j ouː s ɪ
vasaljósið	v aː s a l j ouː s ɪ ð
